Week,Year,Month,Day,Tmax,Tmin,Tavg,DewPoint,WetBulb,Heat,Cool,Sunrise,Sunset,PrecipTotal,StnPressure,SeaLevel,ResultSpeed,ResultDir,AvgSpeed,IntLoc,code_dz,code_vcts,code_fg,code_tsra,code_bcfg,code_ts,code_ra,code_br,code_hz,code_fg+,species_CULEX ERRATICUS,species_CULEX PIPIENS,species_CULEX PIPIENS/RESTUANS,species_CULEX RESTUANS,species_CULEX SALINARIUS,species_CULEX TARSALIS,species_CULEX TERRITANS,species_UNSPECIFIED CULEX
31,2007,8,1,91,69,80,63,70.0,0.0,15.0,445,1911,0.0,29.34,29.98,2.1,13,3.7,3666.785940654954,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
24,2011,6,17,82,60,71,60,64.0,0.0,6.0,416,1929,0.0,29.13,29.83,5.8,6,6.6,3682.1319854233598,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
23,2013,6,7,68,54,61,44,52.0,4.0,0.0,417,1924,0.0,29.26,29.92,8.8,2,9.2,3650.584789869696,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
35,2011,9,2,94,79,87,69,74.0,0.0,22.0,518,1826,0.05,29.24,29.87,4.0,20,6.6,3651.888622424953,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
29,2009,7,13,78,66,72,48,59.0,0.0,7.0,428,1927,0.0,29.41,30.05,5.8,7,7.4,3654.6296700550456,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
31,2007,8,2,91,73,82,66,72.0,0.0,17.0,446,1910,0.0,29.31,29.95,6.5,23,7.2,3666.785940654954,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
26,2011,6,30,89,66,78,61,67.0,0.0,13.0,419,1931,0.03,29.34,29.99,9.2,16,10.6,3657.626074599295,0,1,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1
30,2011,7,25,90,73,82,67,71.0,0.0,17.0,438,1918,0.01,29.25,29.89,2.1,35,6.1,3659.3703944291997,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
34,2007,8,22,90,70,80,70,73.0,0.0,15.0,506,1843,0.88,29.29,29.93,5.1,21,8.4,3654.7970393966307,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,1
31,2009,7,27,84,66,75,61,67.0,0.0,10.0,440,1917,0.03,29.21,29.85,9.2,23,9.6,3654.2506587422663,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
37,2013,9,12,83,63,73,58,64.0,0.0,8.0,528,1809,0.06,29.34,29.97,6.8,34,9.8,3674.392878274966,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
34,2007,8,22,90,70,80,70,73.0,0.0,15.0,506,1843,0.88,29.29,29.93,5.1,21,8.4,3657.722169102192,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,1
28,2011,7,15,86,71,79,60,67.0,0.0,14.0,429,1926,0.0,29.33,29.96,6.2,10,6.8,3655.895215166151,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
30,2007,7,25,83,70,77,60,66.0,0.0,12.0,438,1918,0.0,29.35,29.99,6.4,23,7.0,3654.7970393966307,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
32,2011,8,12,82,65,74,57,64.0,0.0,9.0,456,1858,0.0,29.28,29.93,8.2,19,8.4,3678.784397208439,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
28,2009,7,10,84,67,76,65,68.0,0.0,11.0,425,1929,0.12,29.41,30.04,3.6,21,4.6,3670.444561419377,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,1
30,2013,7,25,81,58,70,52,60.0,0.0,5.0,438,1918,0.0,29.39,30.05,2.7,23,3.9,3655.895215166151,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
32,2007,8,7,91,72,82,73,76.0,0.0,17.0,451,1904,1.31,29.06,29.76,6.2,25,9.0,3689.1019532811074,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1
31,2011,8,5,84,70,77,68,71.0,0.0,12.0,449,1907,0.05,29.26,29.91,5.2,7,6.0,3657.626074599295,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
32,2007,8,7,91,72,82,73,76.0,0.0,17.0,451,1904,1.31,29.06,29.76,6.2,25,9.0,3682.56550300201,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1
40,2007,10,4,82,51,67,56,61.0,0.0,2.0,552,1729,0.0,29.34,30.04,3.9,17,4.6,3680.7652636736707,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1
39,2011,9,30,58,47,53,42,47.0,12.0,0.0,547,1735,0.17,29.37,30.0,15.4,34,16.3,3657.564651936412,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
35,2013,8,29,87,69,78,65,69.0,0.0,13.0,514,1832,0.0,29.36,30.0,4.2,10,4.6,3655.895215166151,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1
31,2011,8,5,84,70,77,68,71.0,0.0,12.0,449,1907,0.05,29.26,29.91,5.2,7,6.0,3663.405102725412,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
35,2009,8,25,83,59,71,61,65.0,0.0,6.0,510,1839,0.0,29.33,30.05,9.1,21,9.2,3684.133737943047,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
29,2013,7,19,97,75,86,69,75.0,0.0,21.0,433,1923,0.05,29.17,29.82,13.4,24,13.9,3657.49777127646,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
25,2009,6,15,81,57,69,49,58.0,0.0,4.0,416,1928,0.0,29.34,29.99,7.4,9,7.7,3648.5498609373076,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
39,2007,9,24,90,68,79,63,68.0,0.0,14.0,541,1746,0.0,29.27,29.99,11.4,19,11.9,3683.263980478029,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
37,2011,9,16,59,48,54,38,47.0,11.0,0.0,532,1800,0.0,29.65,30.33,2.6,13,3.7,3662.0811152730544,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
32,2007,8,7,92,73,83,73,76.0,0.0,18.0,451,1904,0.06,29.11,29.74,6.3,24,8.8,3664.198953896292,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
31,2013,8,1,81,61,71,57,62.0,0.0,6.0,445,1911,0.0,29.23,29.95,7.6,30,7.8,3683.1849211884255,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
37,2011,9,12,86,64,75,59,65.0,0.0,10.0,528,1809,0.0,29.24,29.9,9.2,23,9.3,3651.888622424953,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
30,2009,7,24,83,62,73,60,65.0,0.0,8.0,437,1919,0.19,29.14,29.82,8.7,23,9.6,3658.2491715232723,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1
26,2011,6,30,89,66,78,61,67.0,0.0,13.0,419,1931,0.03,29.34,29.99,9.2,16,10.6,3657.881107191728,0,1,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,1
29,2007,7,18,85,69,77,68,71.0,0.0,12.0,432,1924,1.55,29.11,29.84,9.1,24,10.1,3683.1849211884255,0,1,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,1
37,2011,9,16,58,46,52,40,47.0,13.0,0.0,532,1800,0.0,29.59,30.33,1.4,8,3.3,3682.6828003446376,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
37,2011,9,16,59,48,54,38,47.0,11.0,0.0,532,1800,0.0,29.65,30.33,2.6,13,3.7,3669.8288628641917,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
24,2013,6,14,76,57,67,50,57.0,0.0,2.0,416,1928,0.0,29.4,30.04,6.0,5,7.8,3667.2844205339643,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
39,2013,9,26,75,55,65,52,58.0,0.0,0.0,543,1742,0.0,29.4,30.04,4.1,9,4.6,3663.776733134232,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
37,2011,9,12,86,64,75,59,65.0,0.0,10.0,528,1809,0.0,29.24,29.9,9.2,23,9.3,3654.783846640511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
34,2007,8,21,85,69,77,70,72.0,0.0,12.0,505,1845,0.01,29.26,29.89,3.5,17,6.0,3675.2658752732395,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
33,2007,8,15,81,72,77,69,71.0,0.0,12.0,459,1854,0.83,29.23,29.87,4.9,6,7.1,3666.4287861058497,0,0,0,1,0,1,1,1,0,0,0,0,0,1,0,0,0,1
28,2009,7,10,84,67,76,65,68.0,0.0,11.0,425,1929,0.12,29.41,30.04,3.6,21,4.6,3668.6422583971694,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,1
28,2013,7,8,87,71,79,70,72.0,0.0,14.0,424,1929,0.84,29.31,29.95,10.0,22,10.5,3668.6422583971694,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1
31,2007,8,1,91,69,80,63,70.0,0.0,15.0,445,1911,0.0,29.34,29.98,2.1,13,3.7,3651.6240464067214,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
32,2009,8,7,74,67,71,59,63.0,0.0,6.0,451,1904,0.23,29.41,30.08,6.4,15,7.2,3657.626074599295,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1
25,2013,6,21,85,70,78,63,67.0,0.0,13.0,416,1930,0.11,29.39,30.04,7.6,19,9.6,3662.1958307478117,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
25,2011,6,24,68,60,64,56,59.0,1.0,0.0,417,1931,0.0,29.08,29.76,9.4,29,9.6,3682.1319854233598,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
31,2009,7,31,82,62,72,55,62.0,0.0,7.0,444,1913,0.0,29.29,29.92,5.9,27,6.7,3659.3703944291997,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
31,2007,8,1,91,69,80,63,70.0,0.0,15.0,445,1911,0.0,29.34,29.98,2.1,13,3.7,3669.18217078712,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
30,2013,7,25,81,57,69,54,61.0,0.0,4.0,438,1918,0.0,29.33,30.05,4.1,23,5.1,3683.263980478029,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
27,2007,7,2,77,58,68,50,59.0,0.0,3.0,420,1931,0.0,29.55,30.21,7.4,12,8.5,3670.444561419377,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
23,2009,6,2,61,50,56,47,51.0,9.0,0.0,419,1920,0.06,29.42,30.07,8.3,3,9.2,3674.401627477535,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1
28,2009,7,10,84,67,76,65,68.0,0.0,11.0,425,1929,0.12,29.41,30.04,3.6,21,4.6,3668.6422583971694,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,1
32,2007,8,8,87,74,81,72,74.0,0.0,16.0,452,1903,0.09,29.18,29.81,1.5,4,6.4,3651.888622424953,1,0,0,1,0,0,1,1,1,0,0,0,1,0,0,0,0,1
33,2007,8,15,80,71,76,67,70.0,0.0,11.0,459,1854,0.23,29.17,29.89,3.4,7,5.8,3679.89701023656,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,1
41,2007,10,9,77,50,64,44,53.0,1.0,0.0,557,1720,0.0,29.27,29.93,12.1,28,13.3,3650.584789869696,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
34,2007,8,24,81,69,75,67,69.0,0.0,10.0,509,1840,0.2,29.16,29.81,5.5,25,7.3,3675.2658752732395,0,0,0,1,0,1,1,1,0,0,0,0,1,0,0,0,0,1
28,2011,7,11,90,70,80,70,74.0,0.0,15.0,426,1928,0.13,29.18,29.81,5.3,24,8.0,3660.747066893088,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1
38,2011,9,23,62,48,55,46,51.0,10.0,0.0,540,1748,0.02,29.38,30.05,4.1,36,6.4,3675.272120998978,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
28,2013,7,8,87,71,79,70,72.0,0.0,14.0,424,1929,0.84,29.31,29.95,10.0,22,10.5,3666.1462892240665,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1
35,2007,8,28,90,69,80,65,70.0,0.0,15.0,513,1834,0.0,29.34,29.98,7.8,21,8.3,3654.2506587422663,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
26,2007,6,26,91,73,82,69,72.0,0.0,17.0,418,1931,0.05,29.45,30.09,7.3,21,8.1,3671.944625710939,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1
33,2007,8,15,81,72,77,69,71.0,0.0,12.0,459,1854,0.83,29.23,29.87,4.9,6,7.1,3673.709200247026,0,0,0,1,0,1,1,1,0,0,0,1,0,0,0,0,0,1
33,2007,8,15,81,72,77,69,71.0,0.0,12.0,459,1854,0.83,29.23,29.87,4.9,6,7.1,3655.095052045716,0,0,0,1,0,1,1,1,0,0,0,0,0,1,0,0,0,1
37,2013,9,12,83,63,73,58,64.0,0.0,8.0,528,1809,0.06,29.34,29.97,6.8,34,9.8,3671.944625710939,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
38,2007,9,19,84,68,76,59,65.0,0.0,11.0,536,1755,0.0,29.47,30.09,3.5,25,9.0,3658.951091938064,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
29,2007,7,19,83,63,73,63,66.0,0.0,8.0,433,1923,0.16,29.21,29.9,7.0,1,11.9,3684.483795662016,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
28,2007,7,11,77,63,70,51,59.0,0.0,5.0,426,1928,0.0,29.28,29.92,9.1,30,11.2,3675.118059928,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
34,2011,8,26,83,59,71,58,63.0,0.0,6.0,511,1837,0.0,29.26,29.98,1.9,26,3.3,3685.515936681855,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
28,2009,7,6,86,60,73,54,62.0,0.0,8.0,423,1930,0.0,29.14,29.86,7.5,31,7.8,3684.626665494477,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
35,2013,8,29,89,66,78,64,69.0,0.0,13.0,514,1832,0.0,29.29,30.01,3.9,10,4.7,3685.910729046421,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1
23,2007,6,5,63,51,57,47,52.0,8.0,0.0,417,1923,0.27,29.16,29.78,6.2,3,8.1,3673.709200247026,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1
31,2011,8,5,83,69,76,68,71.0,0.0,11.0,449,1907,0.05,29.21,29.93,4.0,5,5.5,3680.2696538764753,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
34,2007,8,21,85,69,77,70,72.0,0.0,12.0,505,1845,0.01,29.26,29.89,3.5,17,6.0,3676.787561238288,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
23,2007,6,5,63,51,57,47,52.0,8.0,0.0,417,1923,0.27,29.16,29.78,6.2,3,8.1,3672.4283186474236,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1
35,2013,8,29,87,69,78,65,69.0,0.0,13.0,514,1832,0.0,29.36,30.0,4.2,10,4.6,3666.4287861058497,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1
31,2007,8,1,91,69,80,63,70.0,0.0,15.0,445,1911,0.0,29.34,29.98,2.1,13,3.7,3665.1507194525348,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
34,2007,8,24,81,69,75,67,69.0,0.0,10.0,509,1840,0.2,29.16,29.81,5.5,25,7.3,3678.935362412309,0,0,0,1,0,1,1,1,0,0,0,1,0,0,0,0,0,1
31,2007,8,1,91,69,80,63,70.0,0.0,15.0,445,1911,0.0,29.34,29.98,2.1,13,3.7,3675.272120998978,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
31,2009,7,31,82,62,72,55,62.0,0.0,7.0,444,1913,0.0,29.29,29.92,5.9,27,6.7,3663.50186024802,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
37,2007,9,12,66,46,56,43,50.0,9.0,0.0,528,1809,0.0,29.46,30.11,1.9,5,6.0,3666.1462892240665,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
30,2009,7,24,83,61,72,59,64.0,0.0,7.0,437,1919,0.14,29.08,29.83,8.9,23,9.8,3689.5848845516107,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1
39,2007,9,24,90,68,79,63,68.0,0.0,14.0,541,1746,0.0,29.27,29.99,11.4,19,11.9,3680.287414366544,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
39,2009,9,25,70,60,65,57,60.0,0.0,0.0,542,1744,0.16,29.39,30.12,5.4,11,7.3,3684.626665494477,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1
40,2007,10,4,83,56,70,56,62.0,0.0,5.0,552,1729,0.0,29.39,30.03,4.6,17,5.9,3668.6422583971694,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
30,2009,7,24,83,62,73,60,65.0,0.0,8.0,437,1919,0.19,29.14,29.82,8.7,23,9.6,3673.709200247026,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1
26,2013,6,27,91,66,79,65,69.0,0.0,14.0,418,1931,0.59,29.08,29.71,6.1,29,6.8,3662.1958307478117,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1
23,2013,6,7,68,52,60,45,52.0,5.0,0.0,417,1924,0.05,29.2,29.92,9.5,3,9.9,3683.263980478029,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
34,2007,8,21,87,69,78,70,72.0,0.0,13.0,505,1845,0.05,29.21,29.91,3.8,18,6.0,3680.4772805268603,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1
31,2013,8,1,82,61,72,54,62.0,0.0,7.0,445,1911,0.0,29.29,29.95,6.2,29,7.1,3660.747066893088,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
33,2011,8,19,86,67,77,62,68.0,0.0,12.0,503,1848,0.0,29.23,29.87,4.7,13,5.8,3663.50186024802,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
32,2007,8,9,84,72,78,71,73.0,0.0,13.0,453,1902,0.05,29.13,29.84,2.5,29,6.0,3680.287414366544,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1
32,2013,8,8,79,69,74,55,62.0,0.0,9.0,452,1903,0.0,29.33,29.96,10.5,5,10.8,3670.444561419377,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
32,2007,8,8,87,74,81,72,74.0,0.0,16.0,452,1903,0.09,29.18,29.81,1.5,4,6.4,3654.7970393966307,1,0,0,1,0,0,1,1,1,0,0,0,1,0,0,0,0,1
23,2007,6,5,64,47,56,48,51.0,9.0,0.0,417,1923,0.42,29.1,29.79,5.2,5,7.6,3680.141970730566,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1
23,2007,6,5,63,51,57,47,52.0,8.0,0.0,417,1923,0.27,29.16,29.78,6.2,3,8.1,3654.783846640511,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1
36,2007,9,5,91,72,82,62,69.0,0.0,17.0,521,1821,0.0,29.31,29.94,6.4,19,6.7,3664.733055893271,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
35,2009,8,27,67,62,65,61,63.0,0.0,0.0,512,1835,1.19,29.41,30.07,10.7,8,11.0,3650.584789869696,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1
31,2007,8,1,92,69,81,62,69.0,0.0,16.0,445,1911,0.0,29.29,30.0,3.5,9,4.1,3684.626665494477,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
33,2011,8,19,86,67,77,62,68.0,0.0,12.0,503,1848,0.0,29.23,29.87,4.7,13,5.8,3669.8288628641917,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
34,2007,8,24,81,69,75,67,69.0,0.0,10.0,509,1840,0.2,29.16,29.81,5.5,25,7.3,3654.783846640511,0,0,0,1,0,1,1,1,0,0,0,1,0,0,0,0,0,1
32,2009,8,7,74,64,69,59,63.0,0.0,4.0,451,1904,0.33,29.36,30.09,7.3,15,7.8,3680.287414366544,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1
39,2011,9,30,58,47,53,42,47.0,12.0,0.0,547,1735,0.17,29.37,30.0,15.4,34,16.3,3654.6296700550456,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
40,2007,10,4,83,56,70,56,62.0,0.0,5.0,552,1729,0.0,29.39,30.03,4.6,17,5.9,3679.4420298882,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
33,2007,8,15,81,72,77,69,71.0,0.0,12.0,459,1854,0.83,29.23,29.87,4.9,6,7.1,3655.7502116213855,0,0,0,1,0,1,1,1,0,0,0,1,0,0,0,0,0,1
28,2013,7,12,82,60,71,54,62.0,0.0,6.0,427,1928,0.0,29.44,30.09,4.1,8,5.4,3663.50186024802,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
30,2011,7,29,86,74,80,69,72.0,0.0,15.0,442,1915,0.36,29.34,29.96,3.5,4,5.6,3666.1462892240665,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1
33,2013,8,15,74,57,66,50,58.0,0.0,1.0,459,1854,0.0,29.47,30.13,4.5,22,5.0,3654.2506587422663,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
31,2011,8,5,84,70,77,68,71.0,0.0,12.0,449,1907,0.05,29.26,29.91,5.2,7,6.0,3657.169309677578,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
37,2013,9,12,83,63,73,58,64.0,0.0,8.0,528,1809,0.06,29.34,29.97,6.8,34,9.8,3675.272120998978,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
36,2007,9,5,91,72,82,62,69.0,0.0,17.0,521,1821,0.0,29.31,29.94,6.4,19,6.7,3657.169309677578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
32,2011,8,12,82,65,74,57,64.0,0.0,9.0,456,1858,0.0,29.28,29.93,8.2,19,8.4,3667.2844205339643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
38,2011,9,23,62,48,55,46,51.0,10.0,0.0,540,1748,0.02,29.38,30.05,4.1,36,6.4,3657.881107191728,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
36,2013,9,6,85,62,74,55,63.0,0.0,9.0,522,1819,0.0,29.44,30.11,4.3,17,6.0,3670.444561419377,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
38,2009,9,17,71,54,63,51,57.0,2.0,0.0,533,1758,0.0,29.51,30.17,4.5,8,5.4,3675.272120998978,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
28,2013,7,8,86,70,78,71,74.0,0.0,13.0,424,1929,0.5,29.24,29.95,7.8,23,8.4,3685.910729046421,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,1
